артикул;материал;вес;размер;есть_дефект;проба;тип;цена_до_скидки
Т132013977;Золото;1.86;15;1;585;obruchalnye;1062.86
Т132013977;Золото;1.9;15;0;585;obruchalnye;865.87
Т132013977;Золото;1.9;15;0;585;obruchalnye;865.87
Т132013977;Золото;1.72;15;0;585;obruchalnye;783.84
Т132013977;Золото;1.72;15;0;585;obruchalnye;783.84
Т132013977;Золото;1.72;15;0;585;obruchalnye;783.84
Т132013977;Золото;1.72;15;0;585;obruchalnye;783.84
Т132013977;Золото;1.75;15;0;585;obruchalnye;797.51
Т132013977;Золото;1.78;15;0;585;obruchalnye;1017.15
Т132013977;Золото;1.79;15;0;585;obruchalnye;1022.86
Т132013977;Золото;1.79;15;0;585;obruchalnye;815.74
Т132013977;Золото;1.77;15;0;585;obruchalnye;1011.43
Т132013977;Золото;1.8;15;0;585;obruchalnye;820.3
Т132013977;Золото;1.8;15;0;585;obruchalnye;1028.57
Т132013977;Золото;1.82;15;0;585;obruchalnye;829.41
Т132013977;Золото;1.82;15;0;585;obruchalnye;829.41
Т132013977;Золото;1.82;15;0;585;obruchalnye;829.41
Т132013977;Золото;1.82;15;0;585;obruchalnye;1040
Т132013977;Золото;1.83;15;0;585;obruchalnye;833.97
Т132013977;Золото;1.83;15;0;585;obruchalnye;833.97
Т132013977;Золото;1.66;15;0;585;obruchalnye;756.5
Т132013977;Золото;1.84;15;0;585;obruchalnye;838.52
Т132013977;Золото;1.84;15;0;585;obruchalnye;838.52
Т132013977;Золото;1.75;15,5;0;585;obruchalnye;797.51
Т132013977;Золото;1.81;15;0;585;obruchalnye;824.85
Т132013977;Золото;1.81;15;0;585;obruchalnye;1034.29
Т132013977;Золото;1.81;15;0;585;obruchalnye;824.85
Т132013977;Золото;1.85;15,5;0;585;obruchalnye;1057.15
Т132013977;Золото;1.69;15,5;0;585;obruchalnye;770.17
Т132013977;Золото;1.76;15;0;585;obruchalnye;1005.72
Т132013977;Золото;1.65;15;0;585;obruchalnye;751.94
Т132013977;Золото;1.68;15,5;0;585;obruchalnye;765.61
Т132013977;Золото;1.64;15;0;585;obruchalnye;937.15
Т132013977;Золото;1.96;15;0;585;obruchalnye;1120
