,matter,injection_params,weight,size,is_defect,platemark,type,price_before_takeoff,price_after_discount
0,gold,"3 фианит 0,8 Круг",1.86,15.0,1,585,wedding,1062.86,340.12
1,gold,"3 фианит 0,8 Круг",1.9,15.0,0,585,wedding,865.87,389.64
2,gold,"3 фианит 0,8 Круг",1.9,15.0,0,585,wedding,865.87,389.64
3,gold,"3 фианит 0,8 Круг",1.72,15.0,0,585,wedding,783.84,352.73
4,gold,"3 фианит 0,8 Круг",1.72,15.0,0,585,wedding,783.84,352.73
5,gold,"3 фианит 0,8 Круг",1.72,15.0,0,585,wedding,783.84,352.73
6,gold,"3 фианит 0,8 Круг",1.72,15.0,0,585,wedding,783.84,352.73
7,gold,"3 фианит 0,8 Круг",1.75,15.0,0,585,wedding,797.51,358.88
8,gold,"3 фианит 0,8 Круг",1.78,15.0,0,585,wedding,1017.15,457.72
9,gold,"3 фианит 0,8 Круг",1.79,15.0,0,585,wedding,1022.86,460.29
10,gold,"3 фианит 0,8 Круг",1.79,15.0,0,585,wedding,815.74,367.08
11,gold,"3 фианит 0,8 Круг",1.77,15.0,0,585,wedding,1011.43,455.14
12,gold,"3 фианит 0,8 Круг",1.8,15.0,0,585,wedding,820.3,369.14
13,gold,"3 фианит 0,8 Круг",1.8,15.0,0,585,wedding,1028.57,462.86
14,gold,"3 фианит 0,8 Круг",1.82,15.0,0,585,wedding,829.41,373.23
15,gold,"3 фианит 0,8 Круг",1.82,15.0,0,585,wedding,829.41,373.23
16,gold,"3 фианит 0,8 Круг",1.82,15.0,0,585,wedding,829.41,373.23
17,gold,"3 фианит 0,8 Круг",1.82,15.0,0,585,wedding,1040.0,468.00
18,gold,"3 фианит 0,8 Круг",1.83,15.0,0,585,wedding,833.97,375.29
19,gold,"3 фианит 0,8 Круг",1.83,15.0,0,585,wedding,833.97,375.29
20,gold,"3 фианит 0,8 Круг",1.66,15.0,0,585,wedding,756.5,340.43
21,gold,"3 фианит 0,8 Круг",1.84,15.0,0,585,wedding,838.52,377.33
22,gold,"3 фианит 0,8 Круг",1.84,15.0,0,585,wedding,838.52,377.33
23,gold,"3 фианит 0,8 Круг",1.75,15.5,0,585,wedding,797.51,358.88
24,gold,"3 фианит 0,8 Круг",1.81,15.0,0,585,wedding,824.85,371.18
25,gold,"3 фианит 0,8 Круг",1.81,15.0,0,585,wedding,1034.29,465.43
26,gold,"3 фианит 0,8 Круг",1.81,15.0,0,585,wedding,824.85,371.18
27,gold,"3 фианит 0,8 Круг",1.85,15.5,0,585,wedding,1057.15,475.72
28,gold,"3 фианит 0,8 Круг",1.69,15.5,0,585,wedding,770.17,346.58
29,gold,"3 фианит 0,8 Круг",1.76,15.0,0,585,wedding,1005.72,452.57
30,gold,"3 фианит 0,8 Круг",1.65,15.0,0,585,wedding,751.94,338.37
31,gold,"3 фианит 0,8 Круг",1.68,15.5,0,585,wedding,765.61,344.52
32,gold,"3 фианит 0,8 Круг",1.64,15.0,0,585,wedding,937.15,421.72
33,gold,"3 фианит 0,8 Круг",1.96,15.0,0,585,wedding,1120.0,504.00
34,gold,None,1.46,15.0,0,375,wedding,604.86,272.19
35,gold,None,1.7,15.5,0,375,wedding,704.29,316.93
36,gold,None,1.57,15.5,0,375,wedding,650.44,292.70
37,gold,None,1.64,17.0,0,375,wedding,679.44,305.75
38,gold,None,1.64,17.0,0,375,wedding,679.44,305.75
39,gold,None,1.47,15.0,0,375,wedding,609.01,274.05
40,gold,None,1.48,15.0,0,375,wedding,613.15,275.92
41,gold,None,1.48,15.0,0,375,wedding,613.15,275.92
42,gold,None,1.48,15.0,0,375,wedding,613.15,275.92
43,gold,None,1.48,15.0,0,375,wedding,613.15,275.92
44,gold,None,1.48,15.0,0,375,wedding,613.15,275.92
45,gold,None,1.51,15.5,0,375,wedding,625.58,281.51
46,gold,None,1.58,16.0,0,375,wedding,654.58,294.56
47,gold,None,2.29,23.0,0,375,wedding,948.72,426.92
48,gold,None,2.01,21.0,0,375,wedding,832.72,374.72
49,gold,None,2.2,21.5,0,375,wedding,911.44,410.15
50,gold,None,1.51,15.5,0,375,wedding,625.58,281.51
51,gold,None,2.08,22.5,0,375,wedding,861.72,387.77
52,gold,None,1.46,15.5,0,375,wedding,604.86,272.19
53,gold,None,1.49,16.0,0,375,wedding,617.29,277.78
54,gold,None,1.49,16.0,0,375,wedding,617.29,277.78
55,gold,None,2.08,22.0,0,375,wedding,861.72,387.77
56,gold,None,2.15,23.0,0,375,wedding,890.72,400.82
57,gold,None,1.48,15.0,0,375,wedding,613.15,275.92
58,gold,None,1.49,15.5,0,375,wedding,617.29,277.78
59,gold,None,1.5,15.5,0,375,wedding,621.44,279.65
60,gold,None,1.93,20.0,0,375,wedding,799.58,359.81
61,gold,None,2.16,22.5,0,375,wedding,894.87,402.69
62,gold,None,1.5,16.0,0,375,wedding,621.44,279.65
63,gold,None,1.51,16.0,0,375,wedding,625.58,281.51
64,gold,None,1.53,16.0,0,375,wedding,633.86,285.24
65,gold,None,1.61,16.5,0,375,wedding,667.01,300.15
66,gold,None,1.45,15.0,0,375,wedding,600.72,270.32
67,gold,None,1.72,18.0,0,375,wedding,712.58,320.66
68,gold,None,1.72,18.0,0,375,wedding,712.58,320.66
69,gold,None,1.47,15.0,0,375,wedding,609.01,274.05
70,gold,None,1.47,15.0,0,375,wedding,609.01,274.05
71,gold,None,1.47,15.0,0,375,wedding,609.01,274.05
72,gold,None,1.99,21.0,0,375,wedding,824.44,371.00
73,gold,None,1.81,18.5,0,375,wedding,749.86,337.44
74,gold,None,1.92,20.5,0,375,wedding,795.44,357.95
75,gold,None,2.08,21.5,0,375,wedding,861.72,387.77
76,gold,None,1.56,16.0,0,375,wedding,646.29,290.83
77,gold,None,1.56,16.0,0,375,wedding,646.29,290.83
78,gold,None,2.13,23.0,0,375,wedding,882.44,397.10
79,gold,None,1.39,15.5,0,375,wedding,575.86,259.14
80,gold,None,1.55,16.0,0,375,wedding,642.15,288.97
81,gold,None,1.9,19.0,0,375,wedding,787.15,354.22
