,matter,injection_params,weight,size,is_defect,platemark,type,price_before_takeoff
0,gold,"3 фианит 0,8 Круг",1.86,15.0,1,585,wedding,1062.86
1,gold,"3 фианит 0,8 Круг",1.9,15.0,0,585,wedding,865.87
3,gold,"3 фианит 0,8 Круг",1.72,15.0,0,585,wedding,783.84
7,gold,"3 фианит 0,8 Круг",1.75,15.0,0,585,wedding,797.51
8,gold,"3 фианит 0,8 Круг",1.78,15.0,0,585,wedding,1017.15
9,gold,"3 фианит 0,8 Круг",1.79,15.0,0,585,wedding,1022.86
11,gold,"3 фианит 0,8 Круг",1.77,15.0,0,585,wedding,1011.43
12,gold,"3 фианит 0,8 Круг",1.8,15.0,0,585,wedding,820.3
14,gold,"3 фианит 0,8 Круг",1.82,15.0,0,585,wedding,829.41
18,gold,"3 фианит 0,8 Круг",1.83,15.0,0,585,wedding,833.97
20,gold,"3 фианит 0,8 Круг",1.66,15.0,0,585,wedding,756.5
21,gold,"3 фианит 0,8 Круг",1.84,15.0,0,585,wedding,838.52
23,gold,"3 фианит 0,8 Круг",1.75,15.5,0,585,wedding,797.51
24,gold,"3 фианит 0,8 Круг",1.81,15.0,0,585,wedding,824.85
27,gold,"3 фианит 0,8 Круг",1.85,15.5,0,585,wedding,1057.15
28,gold,"3 фианит 0,8 Круг",1.69,15.5,0,585,wedding,770.17
29,gold,"3 фианит 0,8 Круг",1.76,15.0,0,585,wedding,1005.72
30,gold,"3 фианит 0,8 Круг",1.65,15.0,0,585,wedding,751.94
31,gold,"3 фианит 0,8 Круг",1.68,15.5,0,585,wedding,765.61
32,gold,"3 фианит 0,8 Круг",1.64,15.0,0,585,wedding,937.15
33,gold,"3 фианит 0,8 Круг",1.96,15.0,0,585,wedding,1120.0
34,gold,None,1.46,15.0,0,375,wedding,604.86
35,gold,None,1.7,15.5,0,375,wedding,704.29
36,gold,None,1.57,15.5,0,375,wedding,650.44
37,gold,None,1.64,17.0,0,375,wedding,679.44
39,gold,None,1.47,15.0,0,375,wedding,609.01
40,gold,None,1.48,15.0,0,375,wedding,613.15
45,gold,None,1.51,15.5,0,375,wedding,625.58
46,gold,None,1.58,16.0,0,375,wedding,654.58
47,gold,None,2.29,23.0,0,375,wedding,948.72
48,gold,None,2.01,21.0,0,375,wedding,832.72
49,gold,None,2.2,21.5,0,375,wedding,911.44
51,gold,None,2.08,22.5,0,375,wedding,861.72
52,gold,None,1.46,15.5,0,375,wedding,604.86
53,gold,None,1.49,16.0,0,375,wedding,617.29
55,gold,None,2.08,22.0,0,375,wedding,861.72
56,gold,None,2.15,23.0,0,375,wedding,890.72
58,gold,None,1.49,15.5,0,375,wedding,617.29
59,gold,None,1.5,15.5,0,375,wedding,621.44
60,gold,None,1.93,20.0,0,375,wedding,799.58
61,gold,None,2.16,22.5,0,375,wedding,894.87
62,gold,None,1.5,16.0,0,375,wedding,621.44
63,gold,None,1.51,16.0,0,375,wedding,625.58
64,gold,None,1.53,16.0,0,375,wedding,633.86
65,gold,None,1.61,16.5,0,375,wedding,667.01
66,gold,None,1.45,15.0,0,375,wedding,600.72
67,gold,None,1.72,18.0,0,375,wedding,712.58
72,gold,None,1.99,21.0,0,375,wedding,824.44
73,gold,None,1.81,18.5,0,375,wedding,749.86
74,gold,None,1.92,20.5,0,375,wedding,795.44
75,gold,None,2.08,21.5,0,375,wedding,861.72
76,gold,None,1.56,16.0,0,375,wedding,646.29
78,gold,None,2.13,23.0,0,375,wedding,882.44
79,gold,None,1.39,15.5,0,375,wedding,575.86
80,gold,None,1.55,16.0,0,375,wedding,642.15
81,gold,None,1.9,19.0,0,375,wedding,787.15
83,gold,None,2.19,22.5,0,375,wedding,907.3
84,gold,None,2.1,21.5,0,375,wedding,870.01
85,gold,None,2.0,20.5,0,375,wedding,828.58
86,gold,None,1.75,17.5,0,375,wedding,725.01
87,gold,None,2.27,22.0,0,375,wedding,940.44
88,gold,None,2.23,22.0,0,375,wedding,923.87
89,gold,None,1.6,16.0,0,375,wedding,662.86
90,gold,"15 Бр Круг 17 0,081 2/3А",0.72,16.5,0,585,decorative,677.66
91,gold,"15 Бр Круг 17 0,081 2/3А",0.8,17.5,0,585,decorative,756.42
92,gold,"15 Бр Круг 17 0,081 2/3А",0.69,16.5,0,585,decorative,660.27
93,gold,"15 Бр Круг 17 0,081 2/3А",0.7,16.5,0,585,decorative,678.39
94,gold,"15 Бр Круг 17 0,081 2/3А",0.74,16.0,0,585,decorative,687.71
95,gold,"15 Бр Круг 17 0,081 2/3А",0.64,15.5,0,585,decorative,614.36
96,gold,"15 Бр Круг 17 0,081 2/3А",0.66,15.0,0,585,decorative,671.68
97,gold,"15 Бр Круг 17 0,081 2/3А",0.71,15.0,0,585,decorative,663.12
98,gold,"15 Бр Круг 17 0,081 2/3А",0.72,15.0,0,585,decorative,673.65
99,gold,"15 Бр Круг 17 0,081 2/3А",0.75,15.0,0,585,decorative,697.81
100,gold,"15 Бр Круг 17 0,081 2/3А",0.77,16.0,0,585,decorative,705.06
102,gold,"15 Бр Круг 17 0,081 2/3А",0.63,16.5,0,585,decorative,627.15
103,gold,"15 Бр Круг 17 0,081 2/3А",0.65,17.0,0,585,decorative,643.6
105,gold,"15 Бр Круг 17 0,081 2/3А",0.66,16.5,0,585,decorative,635.44
106,gold,"15 Бр Круг 17 0,081 2/3А",0.67,16.5,0,585,decorative,632.27
110,gold,"15 Бр Круг 17 0,081 2/3А",0.67,17.0,0,585,decorative,644.8
111,gold,"15 Бр Круг 17 0,081 2/3А",0.68,16.5,0,585,decorative,645.99
112,gold,"15 Бр Круг 17 0,081 2/3А",0.69,17.0,0,585,decorative,656.94
115,gold,"15 Бр Круг 17 0,081 2/3А",0.72,17.0,0,585,decorative,682.12
116,gold,"15 Бр Круг 17 0,081 2/3А",0.73,16.0,0,585,decorative,673.44
117,gold,"15 Бр Круг 17 0,081 2/3А",0.73,17.0,0,585,decorative,689.15
118,gold,"15 Бр Круг 17 0,081 2/3А",0.74,17.0,0,585,decorative,695.79
119,gold,"15 Бр Круг 17 0,081 2/3А",0.75,17.0,0,585,decorative,702.82
122,gold,"15 Бр Круг 17 0,081 2/3А",0.75,16.5,0,585,decorative,702.82
123,gold,"15 Бр Круг 17 0,081 2/3А",0.67,15.5,0,585,decorative,635.52
125,gold,None,3.24,21.5,0,375,wedding,1342.3
126,gold,None,3.2,22.5,0,375,wedding,1325.73
128,gold,None,3.21,22.5,0,375,wedding,1329.87
129,gold,None,3.27,22.0,0,375,wedding,1354.73
130,gold,None,3.3,23.0,0,375,wedding,1367.16
131,gold,None,3.33,23.0,0,375,wedding,1379.59
132,gold,None,3.36,23.0,0,375,wedding,1392.01
134,gold,None,3.27,22.5,0,375,wedding,1354.73
135,gold,None,2.39,16.5,0,375,wedding,990.15
136,gold,None,2.19,15.5,0,375,wedding,907.3
137,gold,None,3.16,21.5,0,375,wedding,1309.16
138,gold,None,3.31,23.0,0,375,wedding,1371.3
139,gold,None,2.67,18.0,0,375,wedding,1106.15
140,gold,None,3.36,22.0,0,375,wedding,1392.01
141,gold,None,3.46,22.5,0,375,wedding,1433.44
142,gold,None,3.57,23.0,0,375,wedding,1479.02
145,gold,None,3.14,21.0,0,375,wedding,1300.87
146,gold,None,2.56,16.5,0,375,wedding,1060.58
147,gold,None,2.71,18.0,0,375,wedding,1122.73
148,gold,None,3.07,20.5,0,375,wedding,1271.87
149,gold,None,2.23,15.5,0,585,wedding,946.14
151,gold,None,2.25,16.0,0,585,wedding,954.63
153,gold,None,3.01,21.5,0,585,wedding,1277.08
154,gold,None,2.15,15.0,0,585,wedding,912.2
156,gold,None,2.35,17.0,0,585,wedding,997.06
157,gold,None,2.16,15.0,0,585,wedding,916.44
159,gold,None,2.36,17.0,0,585,wedding,1001.3
160,gold,None,2.46,18.0,0,585,wedding,1043.73
161,gold,None,2.38,16.5,0,585,wedding,1009.79
162,gold,None,3.03,21.5,0,585,wedding,1285.57
163,gold,None,2.31,16.0,0,585,wedding,980.09
164,gold,None,2.09,16.0,0,585,wedding,1164.42
165,gold,None,2.1,16.0,0,585,wedding,890.99
166,gold,None,2.23,16.5,0,585,wedding,946.14
167,gold,None,3.0,23.0,0,585,wedding,1272.84
168,gold,None,2.1,15.0,0,585,wedding,890.99
169,gold,None,2.19,16.5,0,585,wedding,929.17
170,gold,None,3.07,23.0,0,585,wedding,1302.54
171,gold,None,2.05,15.5,0,585,wedding,869.77
173,gold,None,2.16,16.0,0,585,wedding,916.44
174,gold,None,2.18,16.5,0,585,wedding,924.93
175,gold,None,2.2,16.5,0,585,wedding,933.42
176,gold,None,2.08,15.5,0,585,wedding,882.5
178,gold,None,2.08,16.0,0,585,wedding,882.5
179,gold,None,3.02,23.0,0,585,wedding,1281.33
180,gold,None,2.45,18.0,0,585,wedding,1039.49
182,gold,None,2.31,16.5,0,585,wedding,980.09
183,gold,None,2.32,16.5,0,585,wedding,984.33
184,gold,None,3.0,22.0,0,585,wedding,1272.84
185,gold,None,1.94,15.0,0,585,wedding,823.1
186,gold,None,2.24,15.0,0,585,wedding,1247.99
187,gold,None,2.74,21.0,0,585,wedding,1526.56
